request_id,timestamp,_id,date,day_name,hour,city,station_id,station_name,free_bikes,empty_slots
Toronto-u7GSxMS0,2024-07-25T05:54:15.782000Z,QueenStE/WoodwardAve--jc1jVEBu,2024-07-25,Thursday,00:03,Toronto,fb337bbed72e2be090071e199899b2be,Queen St E / Woodward Ave,15,3
Toronto-TYXcChIj,2024-07-25T05:54:15.796000Z,PrimroseAve/DavenportRd--QgX0AINj,2024-07-25,Thursday,00:03,Toronto,4ff88d5880e71aa40d34cfe5d09b0ca7,Primrose Ave / Davenport Rd,3,12
Toronto-rUL7k09z,2024-07-25T05:54:15.812000Z,QueenStE/RhodesAve--VAAfaFL5,2024-07-25,Thursday,00:03,Toronto,a09c67c0b419654d907c9134b108e328,Queen St E / Rhodes Ave,14,8
Toronto-O0Fvtitc,2024-07-25T05:54:15.937000Z,BondSt/QueenStE--7graku8R,2024-07-25,Thursday,00:03,Toronto,d6a9daee68070a8b106cfb598d81308c,Bond St / Queen St E,6,30
Toronto-JLKnuvIS,2024-07-25T05:54:15.948000Z,ChurchSt/AlexanderSt--0mn5WC6Y,2024-07-25,Thursday,00:03,Toronto,8f8af40d9388c8a3962559e8681d3db7,Church St / Alexander St,6,29
Toronto-rKw8hMhX,2024-07-25T05:54:15.964000Z,UniversityAve/GerrardStW(EastSide)--9eBdOp8q,2024-07-25,Thursday,00:03,Toronto,5a441560e262305d1934fb3ada5a9517,University Ave / Gerrard St W (East Side),0,23
Toronto-wCurGtKW,2024-07-25T05:54:15.985000Z,EdwardSt/YongeSt--eIvuUaH9,2024-07-25,Thursday,00:03,Toronto,18ea490ab3ca4d10e2927308416edbef,Edward St / Yonge St,2,20
Toronto-CrElPrif,2024-07-25T05:54:16.001000Z,EuclidAve/BloorStW--7TC4sRX5,2024-07-25,Thursday,00:03,Toronto,b7850948607474362d3728f19a77fdff,Euclid Ave / Bloor St W,12,3
Toronto-vci4wQQT,2024-07-25T05:54:16.007000Z,YongeSt/AylmerAve--75KsNRPz,2024-07-25,Thursday,00:03,Toronto,7ffd06e0207f80fe1ff6b5ae0bb0544c,Yonge St / Aylmer Ave,20,3
Toronto-tyAcGDRl,2024-07-25T05:54:16.020000Z,DavenportRd/AvenueRd--0zrF160w,2024-07-25,Thursday,00:03,Toronto,17fadbdc5848036c8485099bbf517294,Davenport Rd / Avenue Rd,2,8
Toronto-2PjOcB8o,2024-07-25T05:54:16.024000Z,YongeSt/YorkvilleAve--ENWfeeYO,2024-07-25,Thursday,00:03,Toronto,843dcb87ce2ddb002d2b2900a5418355,Yonge St / Yorkville Ave,1,15
Toronto-SokT2IjN,2024-07-25T05:54:16.038000Z,DundasStE/BroadviewAve--II2eDnpP,2024-07-25,Thursday,00:03,Toronto,438406694750984faa317bc6b1f3f909,Dundas St E / Broadview Ave,17,0
