request_id,timestamp,_id,date,day_name,hour,city,station_id,station_name,free_bikes,empty_slots
Montreal-cr6aeAT8,2024-07-25T06:03:08.128000Z,Gared'autocarsdeMontréal(Berri/Ontario)--KTwTzm65,2024-07-25,Thursday,00:03,Montreal,36c6491aa1b52e5ef7005f984738de27,Gare d'autocars de Montréal (Berri / Ontario),6,7
Montreal-ecc071hO,2024-07-25T06:03:07.856000Z,MarchéMaisonneuve--jQkovllH,2024-07-25,Thursday,00:03,Montreal,65f5707d61306518123222b4680bc282,Marché Maisonneuve,16,4
Montreal-Gz8TUcdp,2024-07-25T06:03:09.742000Z,Bibliothèqued'Ahuntsic(Lajeunesse/Fleury)--NrTFDcpI,2024-07-25,Thursday,00:03,Montreal,eeda0f4010f34ca2199f3585a76fef66,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),11,1
Montreal-Ua43I8uV,2024-07-25T05:54:31.477000Z,Omer-Lavallée/duMidway--k12vG8aV,2024-07-25,Thursday,00:03,Montreal,e287c24d95d9f0e3767d167d83ecebcd,Omer-Lavallée / du Midway,3,15
Montreal-qsvN7e3T,2024-07-25T05:54:33.830000Z,CHSLDSt-Michel(8eavenue/Jarry)--GTFuTF0g,2024-07-25,Thursday,00:03,Montreal,bfc27d829d7ce8c0f9e55b1cab901cbb,CHSLD St-Michel (8e avenue / Jarry),5,9
Montreal-eqhXTea0,2024-07-25T06:03:08.788000Z,Chabanel/duParc--FIYYXlmB,2024-07-25,Thursday,00:03,Montreal,1ff33fd73e2add3c30fcd821850dccd3,Chabanel / du Parc,0,27
Montreal-VBE3vAfm,2024-07-25T06:03:09.003000Z,MétroHenri-Bourassa(Henri-Bourassa/Millen)--hjdDKLME,2024-07-25,Thursday,00:03,Montreal,41f8b2e49339317de23ae563e66fe4a6,Métro Henri-Bourassa (Henri-Bourassa / Millen),11,5
Montreal-xyaf4bv7,2024-07-25T05:54:34.215000Z,St-Hubert/deMaisonneuve(sud)--4m9GxtIN,2024-07-25,Thursday,00:03,Montreal,f332a5c6e3f7fc73096885d6efc0f829,St-Hubert / de Maisonneuve (sud),0,18
Montreal-8hGFeO1X,2024-07-25T06:03:09.281000Z,CHSLDJoseph-François-Perrault(St-Michel/Everett)--v4RZEUYI,2024-07-25,Thursday,00:03,Montreal,0243c740e1d4fe272e0c414cdd900c7d,CHSLD Joseph-François-Perrault (St-Michel / Everett),4,14
Montreal-7zaLHw9l,2024-07-25T05:54:31.300000Z,ParcNicolas-Tillemont(desÉrables/Villeray)--WoiukaaD,2024-07-25,Thursday,00:03,Montreal,278e51e3bb2d95cf556a62edff8f95ec,Parc Nicolas-Tillemont (des Érables / Villeray),13,2
Montreal-rsMkPSLX,2024-07-25T06:03:07.997000Z,Préfontaine/Marcel-Pépin--5ENCwIDO,2024-07-25,Thursday,00:03,Montreal,82cc3be4d76f16ca475536a6e07461c5,Préfontaine / Marcel-Pépin,6,11
Montreal-CgLgb1OV,2024-07-25T05:54:31.274000Z,BAnQ(Berri)--UF6XIkAs,2024-07-25,Thursday,00:03,Montreal,91a138f95bde5c11382cfd13a0592bb2,BAnQ (Berri),1,10
Montreal-YCWsSd5M,2024-07-25T06:03:10.932000Z,Messier/St-Joseph--N0ARviNo,2024-07-25,Thursday,00:03,Montreal,e335f2f5ad674c200bb9795ee863749c,Messier / St-Joseph,15,1
Montreal-RykAcK6d,2024-07-25T05:54:31.320000Z,SquareViger(Berri/Viger)--rE7O55cJ,2024-07-25,Thursday,00:03,Montreal,30efd061ab22a0caa3dc67f5e027154e,Square Viger (Berri / Viger),6,23
Montreal-9bTaOuD1,2024-07-25T06:03:07.245000Z,Dorion/Ontario--I6aChbUQ,2024-07-25,Thursday,00:03,Montreal,76d6ac391db2e789d1696e32fccf92f6,Dorion / Ontario,25,10
Montreal-xVR0LUEA,2024-07-25T06:03:10.940000Z,MétroPeel(deMaisonneuve/Stanley)--A0x7Kbje,2024-07-25,Thursday,00:03,Montreal,69f583a85e1a83b443c203b781bfc0c9,Métro Peel (de Maisonneuve / Stanley),2,47
Montreal-kAi6G4Xy,2024-07-25T06:03:07.498000Z,MétroPlace-d'Armes(Viger/St-Urbain)--pOFlkvJm,2024-07-25,Thursday,00:03,Montreal,7efdfc0229daac74cfa58a8a39d13ac2,Métro Place-d'Armes (Viger / St-Urbain),4,29
Montreal-V5pUXiXv,2024-07-25T05:54:33.545000Z,MétroLaurier(Berri/St-Joseph)--quHeaIRL,2024-07-25,Thursday,00:03,Montreal,1013ec013026d8e51b4e126c5c72c5c8,Métro Laurier (Berri / St-Joseph),10,10
Montreal-3RMzYBBh,2024-07-25T06:03:07.256000Z,MétroFrontenac(Ontario/duHavre)--VVIqlNcG,2024-07-25,Thursday,00:03,Montreal,04f6eaaa0d7993020973687c13f41663,Métro Frontenac (Ontario / du Havre),17,5
Montreal-dea9xrUW,2024-07-25T05:54:33.081000Z,duMont-Royal/Clark--IBhtu1Sl,2024-07-25,Thursday,00:03,Montreal,706aa9cbfdd3690017049a4f1239f340,du Mont-Royal / Clark,24,13
Montreal-Nk6sfxC6,2024-07-25T06:03:09.581000Z,Gary-Carter/St-Laurent--sIU7DiVe,2024-07-25,Thursday,00:03,Montreal,f9d30314d14794ea0c378ba2c1ee0c5d,Gary-Carter / St-Laurent,27,10
Montreal-iHtYy3aY,2024-07-25T06:03:09.226000Z,MétroParc(Hutchison/Ogilvy)--xHAuUsVY,2024-07-25,Thursday,00:03,Montreal,9836aac1ee4659e9103ab4a3ac10c9e0,Métro Parc  (Hutchison / Ogilvy),5,27
Montreal-j8wzfOrn,2024-07-25T06:03:09.022000Z,6eavenue/Villeray--X9k0ygaN,2024-07-25,Thursday,00:03,Montreal,251c1026721c2b86f0c7b68be5992fdf,6e avenue / Villeray,8,7
Montreal-pwTpVFDA,2024-07-25T06:03:06.799000Z,desBassins/duSéminaire--W27J4HIf,2024-07-25,Thursday,00:03,Montreal,ede6b6e636d0057c3569441aad58f64c,des Bassins / du Séminaire,21,13
Montreal-rFGyo5e5,2024-07-25T05:54:34.036000Z,St-Jacques/Vinet--1QWiOmGI,2024-07-25,Thursday,00:03,Montreal,444448176f019fa75930cba6037f6ed8,St-Jacques / Vinet,0,15
Montreal-w3DIWlQj,2024-07-25T06:03:09.872000Z,MétroLionel-Groulx(St-Jacques/Atwater)--Mp52zZ10,2024-07-25,Thursday,00:03,Montreal,f9cff3cd7959287708ec2346fdc9f24c,Métro Lionel-Groulx (St-Jacques / Atwater),0,33
Montreal-xH8KXT4h,2024-07-25T05:54:31.496000Z,MétroPie-IX(Pierre-de-Coubertin/Desjardins)--qnopSsFm,2024-07-25,Thursday,00:03,Montreal,b70ce7493bae1388aa38f66e6e8434f1,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),26,23
Montreal-DH5xWipb,2024-07-25T06:03:10.461000Z,duParc-Lafontaine/Rachel--mt9UXtTr,2024-07-25,Thursday,00:03,Montreal,0c9cd68aa1bd69a080463ce7f302337c,du Parc-Lafontaine / Rachel,7,10
Montreal-RCKguP9B,2024-07-25T05:54:31.827000Z,Ste-Catherine/St-Clément--QdyzLzaX,2024-07-25,Thursday,00:03,Montreal,b2ff5e1c2db5294d113db231f95c8bb9,Ste-Catherine / St-Clément,6,9
Montreal-qUoweb0H,2024-07-25T05:54:33.981000Z,del'Hôtel-de-Ville/Rachel--d7HVCGWb,2024-07-25,Thursday,00:03,Montreal,c6315ed8be3d1b1db4e1743fd8cf702d,de l'Hôtel-de-Ville / Rachel,12,2
Montreal-e8jIroeJ,2024-07-25T05:54:34.070000Z,Workman/Vinet--MdWlTXme,2024-07-25,Thursday,00:03,Montreal,ce541d236b1fb3391edee931485e6ad7,Workman / Vinet,6,17
Montreal-Ov1KD007,2024-07-25T05:54:32.125000Z,MétroAcadie(del'Acadie/Beaumont)--LLAGGVjA,2024-07-25,Thursday,00:03,Montreal,9fce8c378d9e1fc9d96999ff50a71f6a,Métro Acadie (de l'Acadie / Beaumont),10,2
Montreal-x6vTMvoE,2024-07-25T05:54:33.963000Z,MétroCrémazie(Crémazie/Lajeunesse)--49EAC0Y5,2024-07-25,Thursday,00:03,Montreal,3da178370890fe8edbd73af1c48b6fa7,Métro Crémazie (Crémazie / Lajeunesse),1,13
Montreal-GNlMk7XF,2024-07-25T05:54:35.081000Z,Lajeunesse/Villeray--CsQDM62e,2024-07-25,Thursday,00:03,Montreal,8ae2d0c3c6bfb29c5614921e85221107,Lajeunesse / Villeray,5,9
Montreal-dELLcIgQ,2024-07-25T05:54:30.791000Z,Berri/Rachel--9fQboG2s,2024-07-25,Thursday,00:03,Montreal,c56841567707d1812755ec56f2ad2895,Berri / Rachel,17,2
Montreal-Bp2BESlR,2024-07-25T06:03:11.404000Z,MétroSauvé(Berri/Sauvé)--1DM9wMU5,2024-07-25,Thursday,00:03,Montreal,1f7793b1b7e1c83f11792bddb10e297a,Métro Sauvé (Berri / Sauvé),1,24
Montreal-RXGSy1MJ,2024-07-25T06:03:10.226000Z,Tolhurst/Fleury--N2NgyhNK,2024-07-25,Thursday,00:03,Montreal,73eda86efde149b545d1e7646de05cd6,Tolhurst / Fleury,17,0
